"boxerID","wins","defeats","draws","wins_by_KO","defeats_by_KO"
"528954","27","3",2,"19 KOs","2 KOs"
"700427","14","0",2,"9 KOs","0 KOs"
"626585","31","7",0,"18 KOs","2 KOs"
"816783","11","0",0,"9 KOs","0 KOs"
"838652","17","0",0,"14 KOs","0 KOs"
"804221","15","1",0,"12 KOs","0 KOs"
"652579","34","2",0,"26 KOs","2 KOs"
"617144","23","0",0,"9 KOs","0 KOs"
"652464","21","3",1,"15 KOs","3 KOs"
"749212","22","0",0,"13 KOs","0 KOs"
"656052","19","1",0,"10 KOs","0 KOs"
"725959","17","3",1,"10 KOs","1 KOs"
"713680","20","0",0,"10 KOs","0 KOs"
"571528","31","4",0,"26 KOs","0 KOs"
"605340","26","5",1,"19 KOs","1 KOs"
"359270","29","4",0,"22 KOs","2 KOs"
"757295","27","0",0,"17 KOs","0 KOs"
"776032","15","1",0,"10 KOs","0 KOs"
"326019","23","3",2,"21 KOs","2 KOs"
"785657","20","0",0,"18 KOs","0 KOs"
"657441","21","0",0,"7 KOs","0 KOs"
"654234","22","3",1,"10 KOs","0 KOs"
"636531","26","2",0,"19 KOs","0 KOs"
"557065","30","4",0,"11 KOs","3 KOs"
"17752","60","4",1,"40 KOs","1 KOs"
"67437","37","6",1,"20 KOs","1 KOs"
"767358","10","1",0,"9 KOs","1 KOs"
"707917","17","0",0,"10 KOs","0 KOs"
"788492","10","1",1,"6 KOs","1 KOs"
"671857","21","1",1,"16 KOs","0 KOs"
"551317","22","2",3,"6 KOs","1 KOs"
"612589","28","0",0,"15 KOs","0 KOs"
"771792","16","0",0,"11 KOs","0 KOs"
"661494","26","4",0,"16 KOs","1 KOs"
"526601","21","4",0,"16 KOs","0 KOs"
"759462","14","0",0,"10 KOs","0 KOs"
"739512","19","1",1,"15 KOs","0 KOs"
"672119","18","0",0,"13 KOs","0 KOs"
"768681","12","1",0,"3 KOs","0 KOs"
"789541","15","1",1,"10 KOs","0 KOs"
"568329","16","6",0,"14 KOs","3 KOs"
"438253","26","3",1,"17 KOs","1 KOs"
"307838","44","8",0,"27 KOs","5 KOs"
"546589","29","2",0,"17 KOs","2 KOs"
"574588","28","3",1,"21 KOs","3 KOs"
"593199","17","3",1,"14 KOs","2 KOs"
"777151","16","0",0,"8 KOs","0 KOs"
"19566","37","9",1,"23 KOs","3 KOs"
"703923","16","2",0,"12 KOs","0 KOs"
"629466","19","3",0,"5 KOs","0 KOs"
"548274","27","2",0,"23 KOs","1 KOs"
"378660","37","2",1,"22 KOs","0 KOs"
"527264","12","2",1,"6 KOs","0 KOs"
"732196","20","0",0,"12 KOs","0 KOs"
"566560","25","3",1,"14 KOs","3 KOs"
"608046","25","2",0,"20 KOs","1 KOs"
"551680","23","3",0,"21 KOs","2 KOs"
"645114","17","3",0,"6 KOs","0 KOs"
"889620","7","0",0,"5 KOs","0 KOs"
"546653","25","5",0,"18 KOs","2 KOs"
"625947","31","1",0,"19 KOs","1 KOs"
"599965","19","1",0,"7 KOs","0 KOs"
"685429","16","2",1,"11 KOs","2 KOs"
"462637","25","6",1,"16 KOs","3 KOs"
"697918","21","0",0,"2 KOs","0 KOs"
"778096","19","2",0,"13 KOs","0 KOs"
"790678","14","1",0,"8 KOs","1 KOs"
"661020","15","5",0,"14 KOs","1 KOs"
"649783","20","1",1,"12 KOs","0 KOs"
"85424","39","3",0,"26 KOs","2 KOs"
"499034","30","4",1,"13 KOs","1 KOs"
"553831","32","2",0,"12 KOs","2 KOs"
"704068","22","1",0,"4 KOs","0 KOs"
"678608","20","1",1,"6 KOs","0 KOs"
"389445","31","5",3,"11 KOs","1 KOs"
"294764","38","6",0,"21 KOs","3 KOs"
"352399","41","4",0,"29 KOs","1 KOs"
"628451","23","3",1,"12 KOs","0 KOs"
"362458","25","9",1,"16 KOs","4 KOs"
"819167","22","0",0,"21 KOs","0 KOs"
"709711","15","1",0,"6 KOs","0 KOs"
"795448","20","1",0,"7 KOs","0 KOs"
"653034","23","0",0,"16 KOs","0 KOs"
"648292","18","5",0,"11 KOs","0 KOs"
"791994","16","0",0,"12 KOs","0 KOs"
"456117","13","4",0,"6 KOs","1 KOs"
"703236","19","1",0,"17 KOs","0 KOs"
"729819","25","2",1,"15 KOs","1 KOs"
"637333","24","3",5,"13 KOs","0 KOs"
"334763","51","7",0,"19 KOs","1 KOs"
"296790","37","2",2,"25 KOs","1 KOs"
"431949","24","3",0,"11 KOs","2 KOs"
"648270","22","3",0,"15 KOs","1 KOs"
"771680","16","1",0,"10 KOs","0 KOs"
"658608","18","1",0,"14 KOs","1 KOs"
"814931","12","0",1,"6 KOs","0 KOs"
"357157","44","10",0,"17 KOs","2 KOs"
"339766","26","8",3,"10 KOs","1 KOs"
"794105","14","0",0,"8 KOs","0 KOs"
"536011","27","3",1,"16 KOs","2 KOs"
"809729","13","0",0,"8 KOs","0 KOs"
"609170","26","3",0,"18 KOs","2 KOs"
"742016","21","0",0,"19 KOs","0 KOs"
"678444","19","1",1,"7 KOs","1 KOs"
"778014","13","0",1,"7 KOs","0 KOs"
"121227","32","6",1,"14 KOs","0 KOs"
"746707","16","0",0,"9 KOs","0 KOs"
"678994","17","2",1,"5 KOs","0 KOs"
"391495","28","8",1,"16 KOs","1 KOs"
"775950","15","1",0,"12 KOs","0 KOs"
"898844","5","0",0,"1 KOs","0 KOs"
"796555","15","2",0,"12 KOs","1 KOs"
"580120","24","6",1,"22 KOs","1 KOs"
"695798","21","1",0,"7 KOs","0 KOs"
"802856","17","0",0,"15 KOs","0 KOs"
"358628","49","2",1,"12 KOs","0 KOs"
"691230","20","1",0,"15 KOs","0 KOs"
"483657","25","4",0,"10 KOs","1 KOs"
"772975","16","1",0,"8 KOs","0 KOs"
"701591","17","4",1,"8 KOs","1 KOs"
"700136","18","2",0,"11 KOs","1 KOs"
"852433","12","1",1,"11 KOs","0 KOs"
"713980","12","2",0,"9 KOs","0 KOs"
"683958","26","2",0,"14 KOs","0 KOs"
"730796","12","1",0,"8 KOs","0 KOs"
"699957","24","4",1,"17 KOs","0 KOs"
"657263","18","1",0,"11 KOs","1 KOs"
"795842","13","0",0,"7 KOs","0 KOs"
"618481","28","4",0,"24 KOs","4 KOs"
"434752","31","4",0,"21 KOs","3 KOs"
"744799","15","0",0,"10 KOs","0 KOs"
"488496","38","3",1,"22 KOs","0 KOs"
"777564","12","0",2,"6 KOs","0 KOs"
"704550","15","2",1,"9 KOs","0 KOs"
"713780","22","1",0,"22 KOs","0 KOs"
"779896","11","2",0,"6 KOs","2 KOs"
"664554","20","1",1,"8 KOs","0 KOs"
"856311","7","0",0,"4 KOs","0 KOs"
"710092","15","4",0,"7 KOs","1 KOs"
"475912","30","2",1,"21 KOs","2 KOs"
"238766","39","6",0,"26 KOs","3 KOs"
"486916","22","4",0,"9 KOs","0 KOs"
"725329","15","1",0,"1 KOs","0 KOs"
"552122","20","1",0,"14 KOs","1 KOs"
"784147","14","0",0,"9 KOs","0 KOs"
"545444","23","5",0,"11 KOs","2 KOs"
"852450","6","0",0,"5 KOs","0 KOs"
