"boxerID","wins","defeats","draws","wins_by_KO","defeats_by_KO"
"982","47","12",0,"34 KOs","4 KOs"
"514537","28","1",0,"20 KOs","0 KOs"
"9879","57","26",3,"23 KOs","1 KOs"
"468841","42","2",1,"41 KOs","2 KOs"
"10346","61","14",5,"23 KOs","5 KOs"
"9985","52","11",2,"24 KOs","9 KOs"
"60267","73","17",7,"20 KOs","3 KOs"
"6563","41","2",0,"34 KOs","2 KOs"
"9384","79","11",6,"44 KOs","7 KOs"
"628407","22","0",0,"19 KOs","0 KOs"
"11286","52","7",3,"40 KOs","1 KOs"
"25036","98","19",6,"25 KOs","6 KOs"
"52785","66","9",8,"20 KOs","2 KOs"
"26155","79","19",10,"18 KOs","2 KOs"
"9572","131","23",1,"48 KOs","9 KOs"
"10327","78","20",6,"44 KOs","5 KOs"
"9011","42","6",0,"39 KOs","5 KOs"
"9702","56","19",2,"35 KOs","4 KOs"
"13889","85","31",9,"34 KOs","3 KOs"
"433135","34","1",1,"18 KOs","0 KOs"
"23154","60","31",2,"34 KOs","2 KOs"
"223046","32","5",0,"25 KOs","2 KOs"
"23156","51","6",0,"31 KOs","1 KOs"
"13114","35","9",0,"28 KOs","6 KOs"
"12847","100","14",3,"37 KOs","6 KOs"
"26399","36","16",3,"14 KOs","4 KOs"
"9982","73","13",14,"10 KOs","3 KOs"
"9385","53","9",4,"32 KOs","6 KOs"
"15844","40","2",0,"34 KOs","0 KOs"
"52320","61","22",8,"11 KOs","1 KOs"
"12311","107","28",25,"11 KOs","1 KOs"
"17895","52","6",7,"17 KOs","1 KOs"
"54829","55","10",2,"16 KOs","1 KOs"
"11402","77","8",1,"25 KOs","2 KOs"
"319725","50","3",0,"41 KOs","1 KOs"
"11801","81","10",1,"17 KOs","1 KOs"
"11389","37","4",0,"22 KOs","2 KOs"
"17902","157","27",23,"55 KOs","5 KOs"
"9459","88","26",14,"20 KOs","4 KOs"
"24675","132","25",15,"55 KOs","4 KOs"
"52159","30","5",5,"16 KOs","1 KOs"
"429442","36","3",0,"21 KOs","0 KOs"
"42295","72","14",2,"26 KOs","2 KOs"
"10910","54","14",3,"25 KOs","9 KOs"
"9802","33","2",2,"17 KOs","0 KOs"
"26726","80","21",9,"21 KOs","4 KOs"
"659771","16","2",0,"11 KOs","0 KOs"
"451","59","14",0,"38 KOs","1 KOs"
"17901","54","14",4,"22 KOs","2 KOs"
"9860","76","19",12,"34 KOs","2 KOs"
"4575","57","2",0,"20 KOs","1 KOs"
